observed_on,quality_grade,latitude,longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
2019-08-24,research,46.9998952,-117.3489144,false,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Ardeidae,Ardeinae,,,,Ardea,,Ardea herodias,,,,
2019-08-24,research,46.9998952,-117.3489144,false,Canard colvert,Anas platyrhynchos,Mallard,Aves,6930,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,Anas platyrhynchos,,,,
2019-08-24,research,46.9998952,-117.3489144,false,Canard colvert,Anas platyrhynchos,Mallard,Aves,6930,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,Anas platyrhynchos,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,House Sparrow,Passer domesticus,House Sparrow,Aves,13858,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passeridae,,,,,Passer,,Passer domesticus,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,Common Merganser,Mergus merganser,Common Merganser,Aves,7004,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Mergus,,Mergus merganser,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,American Coot,Fulica americana,American Coot,Aves,473,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,,,,Fulica,,Fulica americana,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,Gadwall,Mareca strepera,Gadwall,Aves,558439,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Mareca,,Mareca strepera,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,Gadwall,Mareca strepera,Gadwall,Aves,558439,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Mareca,,Mareca strepera,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,American Coot,Fulica americana,American Coot,Aves,473,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,,,,Fulica,,Fulica americana,,,,
2019-08-24,needs_id,47.1391191593,-117.7232928726,false,Western Branded Skipper,Hesperia colorado,Western Branded Skipper,Insecta,117381,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Hesperiini,,Hesperia,,Hesperia colorado,,,,
2019-08-24,research,47.1391191593,-117.7232928726,false,Northern Pacific Rattlesnake,Crotalus oreganus oreganus,Northern Pacific Rattlesnake,Reptilia,48267,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Viperidae,Crotalinae,,,,Crotalus,,Crotalus oreganus,,Crotalus oreganus oreganus,,
2019-08-24,research,47.0311219,-117.857549,false,Bank Swallow,Riparia riparia,Bank Swallow,Aves,11941,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Hirundinidae,,,,,Riparia,,Riparia riparia,,,,
2019-08-24,research,47.0311219,-117.857549,false,European Starling,Sturnus vulgaris,European Starling,Aves,14850,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Sturnus,,Sturnus vulgaris,,,,
2019-08-24,research,47.0311219,-117.857549,false,Brewer's Blackbird,Euphagus cyanocephalus,Brewer's Blackbird,Aves,10325,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,Euphagus,,Euphagus cyanocephalus,,,,
2019-08-24,research,47.0311219,-117.857549,false,American Kestrel,Falco sparverius,American Kestrel,Aves,4665,Animalia,Chordata,Vertebrata,,Aves,,,Falconiformes,,,Falconidae,,,,,Falco,,Falco sparverius,,,,
2019-08-24,research,47.0311219,-117.857549,false,Killdeer,Charadrius vociferus,Killdeer,Aves,4793,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Charadrius,,Charadrius vociferus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Lesser Yellowlegs,Tringa flavipes,Lesser Yellowlegs,Aves,3893,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Tringa,,Tringa flavipes,,,,
2019-08-24,research,47.0311219,-117.857549,false,American Wigeon,Mareca americana,American Wigeon,Aves,485176,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Mareca,,Mareca americana,,,,
2019-08-24,research,47.0311219,-117.857549,false,Vesper Sparrow,Pooecetes gramineus,Vesper Sparrow,Aves,10168,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Pooecetes,,Pooecetes gramineus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Brewer's Sparrow,Spizella breweri,Brewer's Sparrow,Aves,9144,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Spizella,,Spizella breweri,,,,
2019-08-24,research,47.0311219,-117.857549,false,Savannah Sparrow,Passerculus sandwichensis,Savannah Sparrow,Aves,9981,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Passerculus,,Passerculus sandwichensis,,,,
2019-08-24,research,47.0311219,-117.857549,false,Stilt Sandpiper,Calidris himantopus,Stilt Sandpiper,Aves,3850,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Calidris,,Calidris himantopus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Baird's Sandpiper,Calidris bairdii,Baird's Sandpiper,Aves,3851,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Calidris,,Calidris bairdii,,,,
2019-08-24,research,47.0311219,-117.857549,false,Savannah Sparrow,Passerculus sandwichensis,Savannah Sparrow,Aves,9981,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Passerculus,,Passerculus sandwichensis,,,,
2019-08-24,research,47.0311219,-117.857549,false,Northern Shoveler,Spatula clypeata,Northern Shoveler,Aves,558438,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Spatula,,Spatula clypeata,,,,
2019-08-24,research,47.0311219,-117.857549,false,Blue-winged Teal,Spatula discors,Blue-winged Teal,Aves,558433,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Spatula,,Spatula discors,,,,
2019-08-24,research,47.0311219,-117.857549,false,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647,Animalia,Chordata,Vertebrata,,Aves,,,Falconiformes,,,Falconidae,,,,,Falco,,Falco peregrinus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Lesser Yellowlegs,Tringa flavipes,Lesser Yellowlegs,Aves,3893,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Tringa,,Tringa flavipes,,,,
2019-08-24,needs_id,47.0311219,-117.857549,false,"Ducks, Geese, and Swans",Anatidae,"Ducks, Geese, and Swans",Aves,6912,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,,,,,,,
2019-08-24,research,47.0311219,-117.857549,false,Vesper Sparrow,Pooecetes gramineus,Vesper Sparrow,Aves,10168,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Pooecetes,,Pooecetes gramineus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Killdeer,Charadrius vociferus,Killdeer,Aves,4793,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Charadrius,,Charadrius vociferus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Killdeer,Charadrius vociferus,Killdeer,Aves,4793,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Charadrius,,Charadrius vociferus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Killdeer,Charadrius vociferus,Killdeer,Aves,4793,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Charadrius,,Charadrius vociferus,,,,
2019-08-24,research,47.0311219,-117.857549,false,Least Sandpiper,Calidris minutilla,Least Sandpiper,Aves,3864,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Calidris,,Calidris minutilla,,,,
2019-08-24,research,47.0311219,-117.857549,false,Baird's Sandpiper,Calidris bairdii,Baird's Sandpiper,Aves,3851,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Calidris,,Calidris bairdii,,,,
